"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","exp_sdy"
"nppa_eqtl_cad_vdh","ebi-a-GCST005195",1923,1.07404074292071e-100,0.921394757103038,7.92394487303804e-102,0.0679670554868192,0.0106381874101568,1
"nppa_eqtl_cad_cardio","ieu-a-7",2005,4.83153383524987e-125,0.934983597188366,2.94681813241863e-126,0.0570179214782317,0.00799848133338438,1
"nppa_eqtl_af","ebi-a-GCST006061",2480,8.54089619647854e-101,0.732703766432215,2.86974350035889e-101,0.24616754086099,0.0211286927067969,1
"nppa_eqtl_hf","ebi-a-GCST009541",1931,4.84889799975127e-125,0.938343857002598,2.64578574283885e-126,0.0511899673840404,0.0104661756133683,1
"nppa_eqtl_stroke","ebi-a-GCST005838",1900,4.16385751353061e-125,0.805776924871585,4.24762810317954e-126,0.0820866588079706,0.112136416320419,1
"nppa_eqtl_ces","ebi-a-GCST006910",1974,4.4114655709789e-125,0.853693276104972,6.46446155501865e-126,0.125077046039488,0.0212296778555481,1
"npr3_eqtl_cad_vdh","ebi-a-GCST005195",1879,0.802747385791604,0.154008471552967,0.0349322925706928,0.00670020898376257,0.00161164110097407,1
"npr3_eqtl_cad_cardio","ieu-a-7",1906,0.807609896438061,0.145042028133418,0.037902256509058,0.00680438282047963,0.00264143609898288,1
"npr3_eqtl_mi_har","ebi-a-GCST011364",1979,0.802698620476502,0.156293362559497,0.0326305775042217,0.00635147028744966,0.00202596917232899,1
"npr3_eqtl_mi_finn","finn-b-I9_MI",1902,0.784051952062139,0.143573227643763,0.0579109062594463,0.0106006071054921,0.00386330692915929,1
"npr3_sbp_cad_vdh","ebi-a-GCST005195",1650,2.11650796730246e-88,0.913925195676599,8.29576725591661e-90,0.0357714881903456,0.0503033161330546,18.5
"npr3_sbp_cad_cardio","ieu-a-7",1625,2.20867564544545e-88,0.953723941810898,8.42839475958586e-90,0.0363845962929104,0.0098914618961922,18.5
"npr3_sbp_mi_har","ebi-a-GCST011364",1650,2.18123522682485e-88,0.941874947928183,6.47608749780384e-90,0.027934076700845,0.0301909753709783,18.5
"npr3_sbp_mi_finn","finn-b-I9_MI",1610,2.15880039000388e-88,0.932187404602888,1.21718841562459e-89,0.0525439079426614,0.015268687454441,18.5
