"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","exp_sdy"
"nppa_eqtl_cad_vdh","ebi-a-GCST005195",572,1.09746744239653e-100,0.941491981733966,5.55425410730122e-102,0.0476377934578035,0.0108702248082424,1
"nppa_eqtl_cad_cardio","ieu-a-7",605,5.0081944268127e-125,0.969170412600018,1.16511458906969e-126,0.022538648952096,0.00829093844786236,1
"nppa_eqtl_af","ebi-a-GCST006061",708,8.88257548167062e-101,0.762015643478013,2.51822119577092e-101,0.216010408650515,0.0219739478714806,1
"nppa_eqtl_hf","ebi-a-GCST009541",593,5.07538988409824e-125,0.982173871234454,3.55629527002293e-127,0.00687107839410368,0.0109550503714473,1
"nppa_eqtl_stroke","ebi-a-GCST005838",586,4.48698345459928e-125,0.868307265137668,5.67138269667118e-127,0.010854247221329,0.12083848764103,1
"nppa_eqtl_ces","ebi-a-GCST006910",594,4.61954641612518e-125,0.89396044254422,4.33195922304027e-126,0.0838085141266926,0.0222310433290602,1
"npr3_eqtl_cad_vdh","ebi-a-GCST005195",364,0.975418341972615,0.0206303378400047,0.00343327423232864,7.2168717200759e-05,0.000445877237851009,1
"npr3_eqtl_cad_cardio","ieu-a-7",359,0.971709852475861,0.0197703237514919,0.00706454255843822,0.000142421706093592,0.00131285950811521,1
"npr3_eqtl_mi_har","ebi-a-GCST011364",395,0.970977426069607,0.0213691132445453,0.00675476077449981,0.000147906883303713,0.000750793028044575,1
"npr3_eqtl_mi_finn","finn-b-I9_MI",358,0.958991490056969,0.0205938560884205,0.019050537846965,0.000408144671260662,0.000955971336384387,1
"npr3_sbp_cad_vdh","ebi-a-GCST005195",325,5.24860678815773e-68,0.981310688149179,1.53498396077573e-70,0.0028540619011292,0.0158352499496997,18.5
"npr3_sbp_cad_cardio","ieu-a-7",315,5.26759428884557e-68,0.984860704014007,3.03695873758796e-70,0.00566860768363266,0.00947068830236465,18.5
"npr3_sbp_mi_har","ebi-a-GCST011364",325,5.2780516359515e-68,0.986815871718301,2.35677394705165e-70,0.00439757795198243,0.00878655032970518,18.5
"npr3_sbp_mi_finn","finn-b-I9_MI",308,4.63748269424942e-68,0.86705129906886,7.42589926743592e-70,0.0137647181923977,0.119183982738731,18.5
