"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","exp_sdy"
"nppa_eqtl_cad_vdh","ebi-a-GCST005195",572,1.10831026597006e-100,0.950793789750744,5.60912935465847e-102,0.0481084481396112,0.00109776210965032,1
"nppa_eqtl_cad_cardio","ieu-a-7",605,5.04584574364311e-125,0.976456579860638,1.17387385334703e-126,0.0227080932148989,0.000835326924489593,1
"nppa_eqtl_af","ebi-a-GCST006061",708,9.06178638107464e-101,0.77738973279585,2.56902770862563e-101,0.220368538755322,0.00224172844881672,1
"nppa_eqtl_hf","ebi-a-GCST009541",593,5.12592921557966e-125,0.991954087530001,3.59170787666043e-127,0.00693949869609515,0.00110641377390707,1
"nppa_eqtl_stroke","ebi-a-GCST005838",586,5.03450974369731e-125,0.974262871947486,6.36343586633022e-127,0.0121787418984723,0.0135583861540392,1
"nppa_eqtl_ces","ebi-a-GCST006910",594,4.71386106066352e-125,0.912211923052261,4.42040236387537e-126,0.0855195847615832,0.00226849218618051,1
"npr3_eqtl_cad_vdh","ebi-a-GCST005195",364,0.975809924262943,0.0206386199017561,0.00343465252237033,7.21976893764455e-05,4.46056235541016e-05,1
"npr3_eqtl_cad_cardio","ieu-a-7",359,0.972859357367502,0.0197937114775747,0.00707289970970868,0.000142590186887949,0.000131441258326698,1
"npr3_eqtl_mi_har","ebi-a-GCST011364",395,0.971633972480721,0.021383562411161,0.006759328145301,0.000148006893593144,7.51300692234101e-05,1
"npr3_eqtl_mi_finn","finn-b-I9_MI",358,0.959817292094437,0.0206115897685349,0.0190669425524624,0.000408496130793518,9.56794537721971e-05,1
"npr3_sbp_cad_vdh","ebi-a-GCST005195",325,5.32448995451369e-68,0.995498255479182,1.55717641068683e-70,0.00289532528068399,0.00160641924014248,18.5
"npr3_sbp_cad_cardio","ieu-a-7",315,5.31287924987276e-68,0.993327449202211,3.06306715644704e-70,0.00571734011516699,0.000955210682610745,18.5
"npr3_sbp_mi_har","ebi-a-GCST011364",325,5.32012260850539e-68,0.994681710538826,2.37555962382805e-70,0.00443263073169781,0.000885658729471836,18.5
"npr3_sbp_mi_finn","finn-b-I9_MI",308,5.19469465223835e-68,0.971230955120213,8.31815054759003e-70,0.0154186037335044,0.0133504411462944,18.5
