"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","exp_sdy"
"nppa_eqtl_cad_vdh","ebi-a-GCST005195",572,9.99667908323017e-101,0.857592019338306,5.05929321567444e-102,0.0433926069269943,0.0990153737347096,1
"nppa_eqtl_cad_cardio","ieu-a-7",605,4.66043966145505e-125,0.901873977856811,1.08421234846028e-126,0.0209736293242932,0.0771523928189241,1
"nppa_eqtl_af","ebi-a-GCST006061",708,7.4159551706389e-101,0.636197672963163,2.10243251364721e-101,0.180344485701158,0.183457841335687,1
"nppa_eqtl_hf","ebi-a-GCST009541",593,4.61988975892251e-125,0.894026885188453,3.23712906256908e-127,0.00625442092737144,0.0997186938841872,1
"nppa_eqtl_stroke","ebi-a-GCST005838",586,2.14940538746289e-125,0.415946332885853,2.71676966183007e-127,0.00519952384278677,0.578854143271385,1
"nppa_eqtl_ces","ebi-a-GCST006910",594,3.84936734583309e-125,0.744917752960396,3.60972720578025e-126,0.0698358082204709,0.185246438819125,1
"npr3_eqtl_cad_vdh","ebi-a-GCST005195",364,0.971519735148384,0.0205478813467973,0.00341955192900949,7.1880269217706e-05,0.00444095130659197,1
"npr3_eqtl_cad_cardio","ieu-a-7",359,0.960362463552257,0.0195394507679752,0.00698204456608619,0.000140758540400572,0.0129752825732808,1
"npr3_eqtl_mi_har","ebi-a-GCST011364",395,0.964460434538917,0.0212256883550535,0.00670942427379718,0.000146914164132349,0.00745753866810032,1
"npr3_eqtl_mi_finn","finn-b-I9_MI",358,0.950810957858672,0.0204181833065813,0.0188880301085045,0.000404663054729723,0.00947816567151266,1
"npr3_sbp_cad_vdh","ebi-a-GCST005195",325,4.59389719519538e-68,0.85890229538153,1.34351053464087e-70,0.00249804709929766,0.138599657519168,18.5
"npr3_sbp_cad_cardio","ieu-a-7",315,4.85386896831094e-68,0.907508161637505,2.79843111790782e-70,0.00522338612663801,0.0872684522358472,18.5
"npr3_sbp_mi_har","ebi-a-GCST011364",325,4.89125621571757e-68,0.914498303395387,2.18406071267612e-70,0.00407530694569625,0.081426389658916,18.5
"npr3_sbp_mi_finn","finn-b-I9_MI",308,2.23745910649997e-68,0.418328639222715,3.58279416556726e-70,0.00664110167056281,0.575030259106711,18.5
