"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","exp_sdy"
"nppa_eqtl_cad_vdh","ebi-a-GCST005195",1923,1.08442341246508e-100,0.930301809601714,8.00054504081268e-102,0.0686240878030274,0.00107410259525109,1
"nppa_eqtl_cad_cardio","ieu-a-7",2005,4.86656646215476e-125,0.941763003612786,2.96818500755804e-126,0.0574313486916491,0.000805647695587474,1
"nppa_eqtl_af","ebi-a-GCST006061",2480,8.70645663867369e-101,0.746906814540748,2.92537185503927e-101,0.250939359412753,0.00215382604649189,1
"nppa_eqtl_hf","ebi-a-GCST009541",1931,4.89500680047346e-125,0.94726669058533,2.67094486302996e-126,0.0516767394310513,0.00105656998363373,1
"nppa_eqtl_stroke","ebi-a-GCST005838",1900,4.63125680009023e-125,0.896226600103589,4.72443076478487e-126,0.0913010100767719,0.0124723898196349,1
"nppa_eqtl_ces","ebi-a-GCST006910",1974,4.49739601266274e-125,0.870322271412296,6.59038207456783e-126,0.12751340775143,0.0021643208362719,1
"npr3_eqtl_cad_vdh","ebi-a-GCST005195",1879,0.803913443744411,0.154232181783897,0.0349830346575346,0.00670994159966301,0.000161398214493899,1
"npr3_eqtl_cad_cardio","ieu-a-7",1906,0.809534396478465,0.145387657118692,0.0379925759745633,0.00682059737539123,0.000264773052888231,1
"npr3_eqtl_mi_har","ebi-a-GCST011364",1979,0.804164912466415,0.156578864116061,0.0326901838785197,0.00636307253737147,0.000202967001632376,1
"npr3_eqtl_mi_finn","finn-b-I9_MI",1902,0.786787593828853,0.14407417010949,0.0581129636530858,0.0106375937662281,0.000387678642342654,1
"npr3_sbp_cad_vdh","ebi-a-GCST005195",1650,2.21687239701478e-88,0.957263365190182,8.68915105721994e-90,0.0374677657700426,0.00526886903978008,18.5
"npr3_sbp_cad_cardio","ieu-a-7",1625,2.22851458584538e-88,0.962290556143151,8.50410095105282e-90,0.0367114128804066,0.000998030976456599,18.5
"npr3_sbp_mi_har","ebi-a-GCST011364",1650,2.24215889438725e-88,0.968182278521072,6.65696986985116e-90,0.0287142981009286,0.0031034233779914,18.5
"npr3_sbp_mi_finn","finn-b-I9_MI",1610,2.18887957631751e-88,0.945175839639356,1.23414785166226e-89,0.0532760173141307,0.00154814304652509,18.5
