"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","exp_sdy"
"nppa_eqtl_cad_vdh","ebi-a-GCST005195",1923,9.80193411986471e-101,0.840885298536523,7.231567901581e-102,0.0620282428384722,0.0970864586249977,1
"nppa_eqtl_cad_cardio","ieu-a-7",2005,4.50708529672556e-125,0.872197311922442,2.74893256047377e-126,0.053189037748113,0.0746136503294629,1
"nppa_eqtl_af","ebi-a-GCST006061",2480,7.17626946559999e-101,0.615635589687362,2.41122853878268e-101,0.206835976724659,0.177528433587977,1
"nppa_eqtl_hf","ebi-a-GCST009541",1931,4.43147284276679e-125,0.857565021928149,2.41801903603073e-126,0.0467831969854035,0.0956517810864419,1
"nppa_eqtl_stroke","ebi-a-GCST005838",1900,2.0723671171616e-125,0.401038123289565,2.11406004608858e-126,0.0408548303870897,0.558107046323332,1
"nppa_eqtl_ces","ebi-a-GCST006910",1974,3.70379264811062e-125,0.716746584305188,5.42745371039106e-126,0.105012594140149,0.178240821554654,1
"npr3_eqtl_cad_vdh","ebi-a-GCST005195",1879,0.791270193696373,0.151806552439193,0.0344328519754858,0.00660441348576914,0.0158859884031792,1
"npr3_eqtl_cad_cardio","ieu-a-7",1906,0.788856470807887,0.141674022243636,0.0370221321423392,0.00664637895283773,0.0258009958532993,1
"npr3_eqtl_mi_har","ebi-a-GCST011364",1979,0.788324529721445,0.153494584885618,0.032046254982081,0.00623773319109629,0.0198968972197598,1
"npr3_eqtl_mi_finn","finn-b-I9_MI",1902,0.757706671165291,0.138748959300838,0.055965015954112,0.010244411357064,0.0373349422226947,1
"npr3_sbp_cad_vdh","ebi-a-GCST005195",1650,1.45691779810218e-88,0.629108845459392,5.71046797402914e-90,0.0246236341248173,0.346267520415793,18.5
"npr3_sbp_cad_cardio","ieu-a-7",1625,2.02812550965081e-88,0.875760938252795,7.73940820716378e-90,0.0334103054254103,0.0908287563218037,18.5
"npr3_sbp_mi_har","ebi-a-GCST011364",1650,1.71518677240426e-88,0.740631469764491,5.09238961326278e-90,0.0219656084164565,0.23740292181905,18.5
"npr3_sbp_mi_finn","finn-b-I9_MI",1610,1.89798300616864e-88,0.819564356525593,1.07013271762317e-89,0.0461957691015061,0.134239874372905,18.5
