"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4"
"gtex_atrial_nppa_af","ebi-a-GCST006061",399,0.791553615970852,0.0314898602461205,0.158061873055401,0.00627545300905142,0.0126191977185752
"gtex_atrial_nppa_cad_cardio","ieu-a-7",395,0.947607601761444,0.0375170866909099,0.0132472693363048,0.000523372921628874,0.00110466928971237
"gtex_atrial_nppa_cad_vdh","ebi-a-GCST005195",375,0.923695398427008,0.0346417871907561,0.0368191910791582,0.00137738136656305,0.00346624193651466
"gtex_atrial_nppa_ces","ebi-a-GCST006910",391,0.928518526194951,0.0361641001726727,0.0314836747444652,0.00122362153261436,0.00261007735529703
"gtex_atrial_nppa_hf","ebi-a-GCST009541",393,0.957433446034856,0.0374118677136907,0.00453362315620014,0.00017670770722888,0.000444355388023886
"gtex_atrial_nppa_stroke","ebi-a-GCST005838",390,0.955271756862926,0.036618837385945,0.00719504257959232,0.000275171426871633,0.000639191744665026
"gtex_ventricle_nppa_af","ebi-a-GCST006061",409,0.69647142853809,0.081024932860983,0.139383436466615,0.0161483862287826,0.066971815905529
"gtex_ventricle_nppa_cad_cardio","ieu-a-7",397,0.877115433896527,0.104504388084824,0.0123086524725773,0.00146191137621006,0.00460961416986209
"gtex_ventricle_nppa_cad_vdh","ebi-a-GCST005195",377,0.85462877899244,0.0964739798978164,0.0340983375565596,0.00383819861761703,0.0109607049355668
"gtex_ventricle_nppa_ces","ebi-a-GCST006910",392,0.854308075479485,0.101250087076292,0.0290359989161548,0.00342928486360327,0.0119765536644646
"gtex_ventricle_nppa_hf","ebi-a-GCST009541",394,0.888332823791012,0.105553469781869,0.00422697471921223,0.000500871668156754,0.00138586003974955
"gtex_ventricle_nppa_stroke","ebi-a-GCST005838",391,0.885605351250154,0.10498024630292,0.00669375941985219,0.000791553596278586,0.00192908943079516
"gtex_atrial_npr3_cad_cardio","ieu-a-7",348,0.933384244013956,0.0578917677265438,0.00657220660671839,0.000405885431141229,0.00174589622164071
"gtex_atrial_npr3_cad_vdh","ebi-a-GCST005195",354,0.937580298214809,0.0585532905806634,0.00319243447075929,0.000198897223408134,0.000475079510360565
"gtex_atrial_npr3_mi_har","ebi-a-GCST011364",387,0.93118484437148,0.0611941897377193,0.00632114427192578,0.000414518044400775,0.000885303574473884
"gtex_atrial_npr3_mi_finn","finn-b-I9_MI",352,0.920109176929538,0.0568453351146167,0.0179429358192116,0.00110453586770651,0.00399801626892746
"gtex_ventricle_npr3_cad_cardio","ieu-a-7",349,0.963485549122515,0.0288760010538176,0.00688719290346313,0.000205866204891253,0.000545390715312947
"gtex_ventricle_npr3_cad_vdh","ebi-a-GCST005195",355,0.966726972114812,0.0295757575460214,0.00332196079052305,0.000101357128279669,0.000273952420364167
"gtex_ventricle_npr3_mi_har","ebi-a-GCST011364",388,0.960748315080299,0.0318770449363211,0.00656770734889748,0.000217322926804981,0.000589609707677816
"gtex_ventricle_npr3_mi_finn","finn-b-I9_MI",353,0.950046945044567,0.0292971574092957,0.0185539059362717,0.000570626364019542,0.00153136524584608
