"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4"
"gtex_atrial_nppa_af","ebi-a-GCST006061",399,0.800646784034275,0.0318516078090578,0.159877647940529,0.00634754382859171,0.00127641638754664
"gtex_atrial_nppa_cad_cardio","ieu-a-7",395,0.948550653059999,0.0375544233872978,0.0132604529098924,0.000523893778059799,0.000110576864751216
"gtex_atrial_nppa_cad_vdh","ebi-a-GCST005195",375,0.926585992529592,0.0347501945141304,0.0369344123271763,0.00138169171655719,0.000347708912544391
"gtex_atrial_nppa_ces","ebi-a-GCST006910",391,0.930704816604608,0.0362492521897309,0.0315578062283427,0.00122650267278155,0.000261622304537146
"gtex_atrial_nppa_hf","ebi-a-GCST009541",393,0.957816495863464,0.03742683544808,0.00453543696746832,0.000176778404421722,4.44533165660472e-05
"gtex_atrial_nppa_stroke","ebi-a-GCST005838",390,0.955821614819935,0.0366399153242054,0.00719918407271717,0.00027532981656286,6.39559665797766e-05
"gtex_ventricle_nppa_af","ebi-a-GCST006061",409,0.741143587233478,0.0862219280437523,0.148323586396979,0.0171841548801985,0.00712674344559265
"gtex_ventricle_nppa_cad_cardio","ieu-a-7",397,0.880769440460342,0.104939746653664,0.01235992952824,0.00146800160511032,0.00046288175264357
"gtex_ventricle_nppa_cad_vdh","ebi-a-GCST005195",377,0.863143372836516,0.0974351419550079,0.0344380563937776,0.00387643826402869,0.00110699055066979
"gtex_ventricle_nppa_ces","ebi-a-GCST006910",392,0.863616914367905,0.102353343354776,0.0293523852920217,0.00346665154807463,0.00121070543722315
"gtex_ventricle_nppa_hf","ebi-a-GCST009541",394,0.889442201955834,0.105685288297927,0.00423225349911449,0.000501497172559102,0.000138759074565889
"gtex_ventricle_nppa_stroke","ebi-a-GCST005838",391,0.887145596123908,0.105162827952844,0.00670540120658938,0.000792930266335117,0.000193244450323528
"gtex_atrial_npr3_cad_cardio","ieu-a-7",348,0.934853184993077,0.0579828766032071,0.00658254981067728,0.000406524205307876,0.000174864387730526
"gtex_atrial_npr3_cad_vdh","ebi-a-GCST005195",354,0.937981352364256,0.058578337011562,0.00319380004882634,0.000198982302581526,4.75282727737584e-05
"gtex_atrial_npr3_mi_har","ebi-a-GCST011364",387,0.931927379147399,0.0612429865091005,0.0063261848065456,0.000414848584642139,8.86009523131948e-05
"gtex_atrial_npr3_mi_finn","finn-b-I9_MI",352,0.923431883052057,0.0570506154745543,0.0180077315023732,0.00110852457707078,0.000401245393944286
"gtex_ventricle_npr3_cad_cardio","ieu-a-7",349,0.963958709839777,0.0288901818470664,0.00689057515360388,0.000205967304281124,5.45658552710489e-05
"gtex_ventricle_npr3_cad_vdh","ebi-a-GCST005195",355,0.966965384371523,0.0295830514597156,0.00332278004579534,0.000101382124770285,2.74019981957724e-05
"gtex_ventricle_npr3_mi_har","ebi-a-GCST011364",388,0.961258405639095,0.0318939694309147,0.00657119434487658,0.000217438310169629,5.89922749439681e-05
"gtex_ventricle_npr3_mi_finn","finn-b-I9_MI",353,0.951358134149257,0.0293375913202659,0.0185795127543768,0.000571413903072485,0.000153347873027559
