cell_state,n_cells,NPPA_mean,NPPA_pct,NPPB_mean,NPPB_pct,NPPC_mean,NPPC_pct,NPR1_mean,NPR1_pct,NPR2_mean,NPR2_pct,NPR3_mean,NPR3_pct,CORIN_mean,CORIN_pct,MME_mean,MME_pct,FURIN_mean,FURIN_pct,DPP4_mean,DPP4_pct,KLKB1_mean,KLKB1_pct
SAN_P_cell,245,1.6866,74.29,0.3702,26.53,0.0009,0.41,0.0051,1.22,0.0397,7.35,0.3201,32.65,0.5595,34.29,0.0047,1.22,0.0612,7.76,0.0081,2.04,0.3839,38.78
AVN_P_cell,155,2.2072,83.87,1.4101,66.45,0.0124,0.65,0.0000,0.00,0.0246,3.87,0.2742,27.74,0.6416,40.65,0.0046,0.65,0.0813,12.90,0.0638,5.16,0.2139,25.81
AVN_bundle_cell,38,1.6239,63.16,0.7427,36.84,0.0000,0.00,0.0207,2.63,0.0900,15.79,0.4758,39.47,0.0718,13.16,0.0027,2.63,0.0388,7.89,0.0130,2.63,0.2625,23.68
Purkinje,110,0.4348,18.18,0.3989,20.91,0.0000,0.00,0.0000,0.00,0.0143,2.73,0.2215,23.64,0.8975,63.64,0.0141,0.91,0.0092,1.82,0.0689,8.18,0.2664,35.45
aCM1,18269,2.7856,77.09,0.8125,29.63,0.0001,0.01,0.0018,0.14,0.0178,2.16,0.0524,5.04,1.2666,63.63,0.0283,1.99,0.0135,1.55,0.0090,0.99,0.1399,12.87
aCM2,14452,3.3574,93.95,0.6380,30.19,0.0001,0.02,0.0018,0.26,0.0313,4.54,0.1519,17.59,1.5933,80.26,0.0194,1.61,0.0221,3.16,0.0098,1.25,0.2825,28.85
aCM3,5701,3.0447,85.34,1.7393,55.32,0.0001,0.02,0.0018,0.16,0.0172,1.82,0.0540,4.65,0.7175,41.50,0.0161,1.02,0.0140,1.54,0.0068,0.65,0.0732,5.51
aCM4,6729,4.2643,96.91,1.1002,39.81,0.0001,0.01,0.0038,0.30,0.0230,2.65,0.0851,8.02,0.9683,50.90,0.0186,1.47,0.0340,3.24,0.0096,1.11,0.1424,12.56
aCM5,55,2.8295,81.82,1.0835,36.36,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.1551,12.73,1.0723,50.91,0.0245,1.82,0.0321,3.64,0.0626,3.64,0.1420,12.73
vCM1,97830,0.0299,2.22,0.0753,4.29,0.0003,0.02,0.0005,0.06,0.0175,1.97,0.1398,12.96,0.9322,53.84,0.0164,1.41,0.0133,1.44,0.1398,12.39,0.1149,11.16
vCM2,34692,0.0146,1.07,0.0129,0.86,0.0003,0.02,0.0004,0.05,0.0165,1.77,0.0701,6.73,1.2190,68.12,0.0166,1.45,0.0132,1.38,0.0737,6.84,0.1394,13.25
vCM3_stressed,26921,0.0389,2.89,0.6283,26.97,0.0009,0.11,0.0015,0.22,0.0157,1.60,0.1244,10.58,0.3366,22.76,0.0171,1.50,0.0165,1.92,0.1285,10.31,0.0412,3.57
vCM4,28724,0.1119,7.82,0.1805,8.73,0.0014,0.14,0.0016,0.14,0.0239,2.81,0.1422,14.47,0.9353,57.02,0.0130,1.19,0.0262,2.90,0.1175,11.83,0.1626,16.26
vCM5,233,0.0464,3.43,0.0732,4.29,0.0000,0.00,0.0053,0.43,0.0181,1.72,0.1173,9.44,1.0483,57.08,0.0155,1.72,0.0161,1.29,0.0423,3.86,0.0943,8.58
EC1_cap,31906,0.0203,0.76,0.0026,0.11,0.0007,0.03,0.1880,10.32,0.0086,0.50,0.0019,0.08,0.0040,0.21,0.0036,0.16,0.1203,6.89,0.0616,3.50,0.0019,0.11
EC2_cap,15166,0.0099,0.40,0.0009,0.04,0.0009,0.05,0.1659,9.83,0.0080,0.50,0.0016,0.09,0.0019,0.13,0.0049,0.22,0.1360,8.18,0.0663,3.88,0.0013,0.08
EC3_cap,18443,0.0145,0.77,0.0014,0.08,0.0004,0.04,0.1738,12.69,0.0096,0.78,0.0025,0.21,0.0018,0.13,0.0043,0.24,0.1362,10.50,0.0557,4.19,0.0022,0.12
EC4_immune,8767,0.0416,1.73,0.0051,0.25,0.0005,0.02,0.2040,11.38,0.0073,0.46,0.0029,0.17,0.0046,0.22,0.0045,0.24,0.1648,9.47,0.0381,2.27,0.0009,0.06
EC5_art,26558,0.0497,2.30,0.0050,0.31,0.0008,0.08,0.1720,12.34,0.0196,1.73,0.0366,2.70,0.0033,0.23,0.0021,0.11,0.2291,16.21,0.0189,1.35,0.0032,0.23
EC6_ven,13193,0.1011,4.81,0.0071,0.49,0.0140,1.02,0.2868,20.25,0.0176,1.46,0.0363,2.38,0.0061,0.39,0.0134,0.84,0.1042,9.01,0.0366,2.52,0.0071,0.43
EC7_endocardial,10535,0.2685,12.40,0.0129,0.91,0.0654,3.10,0.3015,20.05,0.0212,1.74,1.1300,46.77,0.0177,1.26,0.0177,0.91,0.0708,5.59,0.0021,0.16,0.0242,1.59
EC8_ln,1175,0.0990,5.62,0.0095,0.68,0.0149,0.85,0.1758,12.09,0.0088,0.85,0.0177,0.85,0.0134,1.02,0.0129,0.77,0.0695,5.79,0.1744,11.15,0.0184,1.36
EC9_FB-like,25,0.0788,4.00,0.0000,0.00,0.0000,0.00,0.0671,4.00,0.0892,4.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.1396,8.00,0.0000,0.00,0.0000,0.00
EC10_CMC-like,5793,0.3275,12.91,0.0326,2.04,0.0037,0.22,0.2631,16.36,0.0088,0.66,0.0367,2.31,0.0203,1.35,0.0053,0.38,0.1856,11.91,0.0142,0.91,0.0046,0.45
