cell_type,n_cells,NPPA_mean,NPPA_pct,NPPB_mean,NPPB_pct,NPPC_mean,NPPC_pct,NPR1_mean,NPR1_pct,NPR2_mean,NPR2_pct,NPR3_mean,NPR3_pct,CORIN_mean,CORIN_pct,MME_mean,MME_pct,FURIN_mean,FURIN_pct,DPP4_mean,DPP4_pct,KLKB1_mean,KLKB1_pct
Atrial Cardiomyocyte,45911,3.1972,86.10,0.9159,34.68,0.0001,0.02,0.0021,0.21,0.0229,2.99,0.0914,9.65,1.2458,63.73,0.0223,1.67,0.0199,2.40,0.0104,1.18,0.1779,17.08
Ventricular Cardiomyocyte,190710,0.0491,3.37,0.1716,8.05,0.0005,0.05,0.0009,0.09,0.0182,2.04,0.1270,11.86,0.8928,52.07,0.0161,1.39,0.0159,1.74,0.1216,10.90,0.1165,11.29
Fibroblast,138055,0.1268,6.48,0.0154,1.01,0.0951,4.35,0.0576,4.39,0.0339,2.58,0.0170,1.39,0.0282,2.09,0.0970,5.74,0.0535,4.11,0.0136,1.02,0.0373,2.64
Endothelial cell,131505,0.0758,3.25,0.0076,0.45,0.0074,0.40,0.2029,13.13,0.0129,1.02,0.1053,4.83,0.0103,0.64,0.0059,0.32,0.1464,9.96,0.0419,2.71,0.0054,0.43
Lymphatic Endothelial cell,1295,0.1006,5.56,0.0107,0.77,0.0148,0.93,0.1667,11.58,0.0080,0.77,0.0219,1.00,0.0239,1.47,0.0283,1.24,0.0637,5.33,0.1658,10.42,0.0215,1.47
Mural cell,104593,0.0518,2.38,0.0062,0.34,0.0024,0.13,0.0051,0.39,0.0190,1.08,0.0361,1.83,0.0079,0.48,0.0224,1.04,0.0360,2.22,0.0015,0.10,0.0125,0.67
Mesothelial cell,1057,0.8773,35.38,0.0543,3.97,0.0039,0.47,0.1282,11.83,0.0317,4.26,0.0583,5.87,0.0608,4.92,0.0457,4.16,0.0485,7.28,0.2232,18.45,0.0236,3.03
Neural cell,6622,0.3570,13.80,0.0371,2.11,0.0056,0.30,0.0143,1.03,0.0286,2.01,0.0198,1.45,0.0612,3.58,0.0249,1.51,0.0635,3.59,0.0054,0.42,0.0342,2.66
Adipocyte,6347,0.2088,11.69,0.0327,2.21,0.0076,0.65,0.1658,15.79,0.0385,4.44,0.1430,11.99,0.0502,4.52,1.2022,62.27,0.0693,8.22,0.0084,0.99,0.0438,5.31
Myeloid,51426,0.1097,5.29,0.0123,0.76,0.0005,0.04,0.0024,0.20,0.0026,0.25,0.0058,0.57,0.0230,1.53,0.0149,0.94,0.1381,10.97,0.0263,1.99,0.0166,1.38
Lymphoid,24922,0.0286,1.24,0.0036,0.22,0.0008,0.04,0.0012,0.08,0.0066,0.37,0.0021,0.16,0.0091,0.53,0.0054,0.28,0.0606,3.63,0.1648,8.00,0.0097,0.57
Mast cell,1853,0.0463,1.78,0.0046,0.16,0.0000,0.00,0.0039,0.16,0.0051,0.22,0.0070,0.27,0.0256,1.08,0.0299,1.13,0.0202,0.92,0.0889,3.78,0.0140,0.59
