exposure,exp_label,outcome,out_label,n_iv_pulled,n_iv,dropped,mean_F,min_F,ivw_fixed_beta,ivw_fixed_se,ivw_fixed_z,ivw_fixed_p,ivw_re_beta,ivw_re_se,ivw_re_z,ivw_re_p,wm_beta,wm_lo,wm_hi,Q,Q_df,Q_p,tau2,egger_intercept,egger_p,egger_slope,wald_sign_consistency
ebi-a-GCST006061,AF (Nielsen 2018),ebi-a-GCST90012082,"NT-proBNP (SCALLOP Olink, n=21,758)",104,90,"{""palindromic_or_allele"": 12, ""no_outcome_assoc"": 1}",81.1,29.7,+0.02375,0.02856,+0.831,0.406,+0.02379,0.03803,+0.625,0.532,-0.00157,-0.06638,+0.08154,131.51,89,0.0023,0.03564,-0.00028,0.92,+0.02746,0.51
ieu-a-7,CAD (CARDIoGRAMplusC4D),ebi-a-GCST90012082,"NT-proBNP (SCALLOP Olink, n=21,758)",41,38,"{""palindromic_or_allele"": 3, ""no_outcome_assoc"": 0}",62.5,29.9,+0.06536,0.03437,+1.902,0.0572,+0.06051,0.03573,+1.693,0.0904,+0.05590,+0.00731,+0.21768,38.27,37,0.412,0.00160,-0.00055,0.891,+0.06803,0.61
ebi-a-GCST005195,CAD (van der Harst 2018),ebi-a-GCST90012082,"NT-proBNP (SCALLOP Olink, n=21,758)",75,60,"{""palindromic_or_allele"": 14, ""no_outcome_assoc"": 0}",73.9,29.8,+0.04488,0.03486,+1.288,0.198,+0.04488,0.03486,+1.288,0.198,+0.03968,-0.07752,+0.19115,51.53,59,0.744,0.00000,+0.00293,0.274,+0.03442,0.48
ebi-a-GCST011364,MI (Hartiala 2021),ebi-a-GCST90012082,"NT-proBNP (SCALLOP Olink, n=21,758)",34,25,"{""palindromic_or_allele"": 5, ""no_outcome_assoc"": 4}",65.4,30.2,+0.03447,0.03754,+0.918,0.359,+0.02452,0.04185,+0.586,0.558,+0.07416,-0.04667,+0.22370,26.85,24,0.312,0.00440,+0.00554,0.266,+0.01297,0.56
ebi-a-GCST009541,HF (HERMES),ebi-a-GCST90012082,"NT-proBNP (SCALLOP Olink, n=21,758)",12,10,"{""palindromic_or_allele"": 2, ""no_outcome_assoc"": 0}",43.1,30.9,+0.22420,0.10834,+2.069,0.0385,+0.19688,0.18724,+1.052,0.293,+0.20925,+0.09820,+0.65329,25.72,9,0.00227,0.22161,+0.01067,0.439,+0.15026,0.80
ebi-a-GCST006061,AF (Nielsen 2018),prot-a-2078,"NT-proBNP (INTERVAL SomaLogic, n=3,301)",104,91,"{""palindromic_or_allele"": 12, ""no_outcome_assoc"": 0}",80.6,29.7,+0.03594,0.04080,+0.881,0.378,+0.04517,0.04910,+0.920,0.358,+0.08110,-0.11564,+0.11713,113.95,90,0.0449,0.04087,+0.00128,0.723,+0.03667,0.41
ieu-a-7,CAD (CARDIoGRAMplusC4D),prot-a-2078,"NT-proBNP (INTERVAL SomaLogic, n=3,301)",41,38,"{""palindromic_or_allele"": 3, ""no_outcome_assoc"": 0}",62.5,29.9,-0.11369,0.05229,-2.174,0.0297,-0.11369,0.05229,-2.174,0.0297,-0.15018,-0.22333,-0.04191,23.17,37,0.963,0.00000,+0.00193,0.676,-0.12333,0.66
ebi-a-GCST005195,CAD (van der Harst 2018),prot-a-2078,"NT-proBNP (INTERVAL SomaLogic, n=3,301)",75,59,"{""palindromic_or_allele"": 13, ""no_outcome_assoc"": 2}",73.9,29.8,-0.06731,0.05366,-1.254,0.21,-0.06731,0.05366,-1.254,0.21,-0.08559,-0.21355,+0.02214,39.78,58,0.968,0.00000,+0.00396,0.27,-0.08458,0.53
ebi-a-GCST011364,MI (Hartiala 2021),prot-a-2078,"NT-proBNP (INTERVAL SomaLogic, n=3,301)",34,26,"{""palindromic_or_allele"": 6, ""no_outcome_assoc"": 2}",65.2,30.2,-0.05591,0.05608,-0.997,0.319,-0.05591,0.05608,-0.997,0.319,-0.08027,-0.19341,+0.02189,14.53,25,0.952,0.00000,-0.00325,0.544,-0.04567,0.62
ebi-a-GCST009541,HF (HERMES),prot-a-2078,"NT-proBNP (INTERVAL SomaLogic, n=3,301)",12,10,"{""palindromic_or_allele"": 2, ""no_outcome_assoc"": 0}",43.1,30.9,-0.28524,0.15409,-1.851,0.0642,-0.25671,0.19073,-1.346,0.178,-0.25142,-0.69339,+0.16344,13.35,9,0.147,0.11656,-0.00187,0.889,-0.29245,0.60
