exposure,outcome,refSNP,b_eQTL,se_eQTL,p_eQTL,b_GWAS,se_GWAS,b_SMR,se_SMR,p_SMR,p_HEIDI,nsnp_HEIDI,note
SCALLOP,AF,rs5068,0.1452,0.0338,1.7401896267398838e-05,0.0576,0.0166,0.39669421487603307,0.14696097589291807,0.0069482022268150985,0.2012208318085834,20,
SCALLOP,CAD_cardio,rs5068,0.1452,0.0338,1.7401896267398838e-05,-0.004609,0.0215213,-0.031742424242424246,0.1484023878099677,0.8306294885569427,0.07404151036355348,20,
SCALLOP,CAD_vdh,rs5068,0.1452,0.0338,1.7401896267398838e-05,-0.0382092,0.0155214,-0.2631487603305785,0.12320409400139276,0.03268946085404423,0.15845242185106112,20,
SCALLOP,CES,rs5068,0.1452,0.0338,1.7401896267398838e-05,0.102,0.0434,0.7024793388429752,0.3407057660167583,0.03922337333003201,0.280166041531293,20,
SCALLOP,HF,rs5068,0.1452,0.0338,1.7401896267398838e-05,0.0267,0.0174,0.18388429752066118,0.12725025675379775,0.14844094157675325,0.27219823069151705,20,
SCALLOP,stroke,rs5068,0.1452,0.0338,1.7401896267398838e-05,-0.0153,0.0194,-0.10537190082644628,0.13584172297110722,0.43792841663499193,0.4541606932301463,20,
INTERVAL,AF,rs5068,0.1673,0.0564,0.003013945084958488,0.0576,0.0166,0.34429169157202627,0.1526984006019088,0.02415109302327756,0.10738914849667859,20,
INTERVAL,CAD_cardio,rs5068,0.1673,0.0564,0.003013945084958488,-0.004609,0.0215213,-0.02754931261207412,0.1289737989066856,0.8308559205357007,0.05209454176032822,20,
INTERVAL,CAD_vdh,rs5068,0.1673,0.0564,0.003013945084958488,-0.0382092,0.0155214,-0.22838732815301852,0.12056279635028332,0.05817945423010011,0.15875234942841815,20,
INTERVAL,CES,rs5068,0.1673,0.0564,0.003013945084958488,0.102,0.0434,0.6096832038254631,0.33096931787841943,0.06545848089499187,0.2938451297037154,20,
INTERVAL,HF,rs5068,0.1673,0.0564,0.003013945084958488,0.0267,0.0174,0.15959354453078303,0.11709675781532974,0.17290764032331707,0.1926068689415149,20,
INTERVAL,stroke,rs5068,0.1673,0.0564,0.003013945084958488,-0.0153,0.0194,-0.09145248057381948,0.11998784618530046,0.44595186507627393,0.6446096607127512,20,
NPPAeQTL,AF,rs5068,0.108072,0.0252729,1.90109601757922e-05,0.0576,0.0166,0.5329780146568954,0.19780809468421903,0.007051132796783338,0.13633858527366519,20,
NPPAeQTL,CAD_cardio,rs5068,0.108072,0.0252729,1.90109601757922e-05,-0.004609,0.0215213,-0.042647494263083875,0.19938811937666895,0.8306313938070284,0.061000061920370684,20,
NPPAeQTL,CAD_vdh,rs5068,0.108072,0.0252729,1.90109601757922e-05,-0.0382092,0.0155214,-0.3535531867643793,0.16571913160778592,0.032887974815448695,0.28346768726580907,20,
NPPAeQTL,CES,rs5068,0.108072,0.0252729,1.90109601757922e-05,0.102,0.0434,0.9438152342882522,0.45824039145849005,0.0394319265669879,0.0509920038122065,20,
NPPAeQTL,HF,rs5068,0.108072,0.0252729,1.90109601757922e-05,0.0267,0.0174,0.2470575172107484,0.17105603295048646,0.1486524873254258,0.3383735679546288,20,
NPPAeQTL,stroke,rs5068,0.108072,0.0252729,1.90109601757922e-05,-0.0153,0.0194,-0.14157228514323783,0.18253739178972495,0.4379972239420703,0.39229432765439204,20,
