exposure,mediator,b1,se1,p1,k_A,b2,se2,p2_,b_indirect,se_indirect,p_indirect
SCALLOP_NTproBNP,SBP,-2.36089,0.21722,1.62572e-27,3,0.013146,0.00229815,1.06378e-08,-0.0310362,0.00613125,4.14966e-07
SCALLOP_NTproBNP,DBP,-1.28979,0.125914,1.26676e-24,3,0.0237852,0.00405742,4.56883e-09,-0.030678,0.00602959,3.62047e-07
SCALLOP_NTproBNP,BMI,0.0250124,0.00635659,8.3239e-05,2,0.313554,0.0330238,2.20661e-21,0.00784274,0.00215751,0.000277893
SCALLOP_NTproBNP,T2D,-0.0899436,0.0213086,2.43209e-05,3,0.000611096,0.0272514,0.982109,-5.49642e-05,0.00245112,0.98211
INTERVAL_NTproBNP,SBP,-1.65862,0.105146,4.65754e-56,3,0.013146,0.00229815,1.06378e-08,-0.0218042,0.00405465,7.54921e-08
INTERVAL_NTproBNP,DBP,-0.904791,0.0603531,8.32868e-51,3,0.0237852,0.00405742,4.56883e-09,-0.0215207,0.0039418,4.77196e-08
INTERVAL_NTproBNP,BMI,0.0172012,0.00439506,9.08666e-05,2,0.313554,0.0330238,2.20661e-21,0.00539352,0.00149057,0.000296408
INTERVAL_NTproBNP,T2D,-0.0637509,0.0151237,2.49436e-05,3,0.000611096,0.0272514,0.982109,-3.89579e-05,0.00173732,0.98211
NPPA_eQTL,SBP,0.928101,0.330057,0.00492432,1,0.013146,0.00229815,1.06378e-08,0.0122008,0.00483483,0.0116186
NPPA_eQTL,DBP,0.60184,0.19217,0.00173727,1,0.0237852,0.00405742,4.56883e-09,0.0143149,0.0051822,0.00573912
NPPA_eQTL,T2D,-0.0180214,0.0294215,0.540191,2,0.000611096,0.0272514,0.982109,-1.10128e-05,0.000491436,0.982121
