Outcome,Tier,Method,SNP(s),OR (95% CI),p,Cochran Q,Q p-value
CAD (CARDIoGRAMplusC4D),发现,Wald(rs198389),rs198389,1.02 (0.93-1.11),0.74186193644407,,
CAD (CARDIoGRAMplusC4D),发现,Wald(rs5068),rs5068,0.97 (0.72-1.30),0.8304223460307474,,
CAD (CARDIoGRAMplusC4D),发现,IVW(2SNP),rs198389+rs5068,1.01 (0.93-1.10),0.801150032861436,0.0909283963313113,0.7630001932437587
心肌梗死 (UKB+C4D),发现,Wald(rs198389),rs198389,1.03 (0.93-1.14),0.5467693864471883,,
心肌梗死 (UKB+C4D),发现,Wald(rs5068),rs5068,1.09 (0.79-1.50),0.5957142655913903,,
心肌梗死 (UKB+C4D),发现,IVW(2SNP),rs198389+rs5068,1.04 (0.94-1.14),0.4640229659212798,0.1084716659890644,0.7418908762737941
心衰 (HERMES),发现,Wald(rs198389),rs198389,0.99 (0.92-1.07),0.8512686236882057,,
心衰 (HERMES),发现,Wald(rs5068),rs5068,1.20 (0.95-1.52),0.1249109316712844,,
心衰 (HERMES),发现,IVW(2SNP),rs198389+rs5068,1.01 (0.94-1.08),0.7782173158318633,2.310470844332781,0.1285051187948257
全卒中 (MEGASTROKE),发现,Wald(rs198389),rs198389,0.92 (0.85-0.99),0.0260014256206437,,
全卒中 (MEGASTROKE),发现,Wald(rs5068),rs5068,0.90 (0.69-1.17),0.4303108731239689,,
全卒中 (MEGASTROKE),发现,IVW(2SNP),rs198389+rs5068,0.91 (0.85-0.98),0.0183482606733214,0.0153193500291762,0.901496307309917
缺血性卒中 (MEGASTROKE),发现,Wald(rs198389),rs198389,0.96 (0.87-1.05),0.3665722715103419,,
缺血性卒中 (MEGASTROKE),发现,Wald(rs5068),rs5068,1.00 (0.74-1.35),0.996453858070977,,
缺血性卒中 (MEGASTROKE),发现,IVW(2SNP),rs198389+rs5068,0.96 (0.88-1.05),0.3881599845061467,0.0705726401093314,0.7905048345738471
冠心病 (FinnGen R9),复制,Wald(rs198389),rs198389,0.96 (0.85-1.08),0.4876634889643041,,
冠心病 (FinnGen R9),复制,Wald(rs5068),rs5068,0.78 (0.58-1.06),0.1121743208180243,,
冠心病 (FinnGen R9),复制,IVW(2SNP),rs198389+rs5068,0.93 (0.83-1.04),0.2148610261301546,1.4666285487157074,0.2258783870129246
心肌梗死 (FinnGen R9),复制,Wald(rs198389),rs198389,0.96 (0.83-1.12),0.6257947120879495,,
心肌梗死 (FinnGen R9),复制,Wald(rs5068),rs5068,0.82 (0.57-1.18),0.28623352459337,,
心肌梗死 (FinnGen R9),复制,IVW(2SNP),rs198389+rs5068,0.94 (0.82-1.08),0.3924987600117124,0.6438729367236421,0.4223118204604895
心衰 (FinnGen R9),复制,Wald(rs198389),rs198389,1.08 (0.94-1.24),0.2769270804337242,,
心衰 (FinnGen R9),复制,Wald(rs5068),rs5068,1.06 (0.75-1.49),0.7448807578672576,,
心衰 (FinnGen R9),复制,IVW(2SNP),rs198389+rs5068,1.08 (0.95-1.22),0.2585081300719207,0.0112631187695348,0.915480921455474
卒中 (FinnGen R9),复制,Wald(rs198389),rs198389,0.97 (0.85-1.11),0.6667915632558512,,
卒中 (FinnGen R9),复制,Wald(rs5068),rs5068,0.70 (0.50-0.97),0.0314745888995851,,
卒中 (FinnGen R9),复制,IVW(2SNP),rs198389+rs5068,0.93 (0.82-1.05),0.229334985566203,3.367285768103636,0.0665032361181748
卒中 (FinnGen R9 广义),复制,Wald(rs198389),rs198389,0.95 (0.84-1.07),0.3559671197337311,,
卒中 (FinnGen R9 广义),复制,Wald(rs5068),rs5068,0.63 (0.47-0.85),0.0022884136620453,,
卒中 (FinnGen R9 广义),复制,IVW(2SNP),rs198389+rs5068,0.89 (0.80-1.00),0.0456005654888742,6.15828219363518,0.01307981732449
