Characteristic,T1,T2,T3
"Age, years",65.9,71.1,76.2
"Female, %",50.0%,66.1%,53.1%
"Non-White, %",1.5,1.4,1.3
"Education, years",13.1,12.4,11.9
"BMI, kg/m2",31.5,31.2,29.9
"Current smoker, %",9.8%,13.8%,8.6%
"Current drinker, %",54.6%,46.6%,41.1%
"Hypertension, %",69.0%,78.7%,89.1%
"Cancer, %",18.4%,16.7%,17.1%
Self-rated health (1-5),3.0,2.8,2.7
"Baseline CVD, %",18.4%,35.1%,52.0%
"HbA1c, %",6.2,6.1,6.1
"NT-proBNP, pg/mL (median)",34,118,1144
ln NT-proBNP,3.37,4.73,6.39
"Cystatin C, mg/L",1.03,1.22,1.71
"hsCRP, mg/L (median)",3.9,4.4,6.8
