id,outcome,family,logOR,se,OR,lo,hi,p,n,include
ieu-a-7,CAD (CARDIoGRAMplusC4D),CAD/MI,-0.0317424,0.1482183,0.9687561015114643,0.7245168442567115,1.2953299728710854,0.8304,184305,True
ieu-a-798,MI (UKB+C4D),CAD/MI,0.0865427,0.1631116,1.0903979267152084,0.7920299786921879,1.501164943968493,0.5957,,True
ebi-a-GCST009541,HF (HERMES),HF,0.1838843,0.1198347,1.2018767579106453,0.9502865464746861,1.5200759671538535,0.1249,977323,True
finn-b-I9_HEARTFAIL,HF (FinnGen R9),HF,0.0564738,0.1735537,1.0580988922460854,0.7529989451849681,1.4868191687803478,0.7449,,True
ebi-a-GCST005195,CAD (van der Harst 2018),CAD/MI,-0.2631487603305785,0.10689669421487603,0.7686275475179541,0.6233380562293834,0.9477815463044014,0.013827606403522541,547261,True
ebi-a-GCST90013868,"CAD (GeneBANK, SPA)",CAD/MI,-0.31821005509641875,0.13818250688705236,0.7274499677916577,0.5548553839800957,0.9537322172926185,0.02128872241319102,352063,True
ebi-a-GCST011364,MI (Hartiala 2021),CAD/MI,-0.33527823691460057,0.16494283746556476,0.7151390805771772,0.5175929283115689,0.9880813214297143,0.04208349636701292,17505,True
finn-b-I9_CHD,CHD (FinnGen R9),CAD/MI,-0.2472451790633609,0.15564738292011018,0.7809491976641313,0.5756162634521199,1.0595281753761303,0.11217432081802436,,True
finn-b-I9_MI,MI (FinnGen R9),CAD/MI,-0.1990358126721763,0.18663911845730027,0.8195205435868131,0.568446268455498,1.1814905974941843,0.28623352459337004,,True
ebi-a-GCST006061,AF (Nielsen 2018),AF,0.39669421487603307,0.11432506887052342,1.4869011882640333,1.188410951493362,1.8603624788906559,0.0005206918743478894,537409,False
ebi-a-GCST006414,AF (Roselli 2018),AF,0.2637741046831956,0.10192837465564739,1.3018340848599201,1.0660865249903655,1.5897133532556202,0.009658043593085974,1030836,False
ebi-a-GCST005838,Stroke (MEGASTROKE),Stroke,-0.10537190082644628,0.13360881542699726,0.8999897534065717,0.6926398034461851,1.1694123730787782,0.4303108731239689,446696,False
finn-b-C_STROKE,Stroke broad (FinnGen R9),Stroke,-0.46212121212121215,0.15151515151515152,0.6299459782257532,0.46809177161635473,0.8477652450768612,0.002288413662045352,,False
ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),Stroke,0.7024793388429752,0.2988980716253444,2.0187516772875034,1.1237138289278878,3.6266869995177706,0.018761792916031528,413304,False
