outcome,outcome_id,tier,set,method,snp,logOR,SE,OR,lo,hi,p,Q,Qp
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,0.01501885014137606,0.04559613572101791,1.0151321998208498,0.9283471093610357,1.110030259934118,0.74186193644407,,
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,-0.031742424242424246,0.14821831955922865,0.9687560780264681,0.7245167989175265,1.2953299911270308,0.8304223460307474,,
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,0.010976171047297197,0.043580614553646355,1.0110366302136322,0.9282614662298365,1.1011930418542684,0.801150032861436,0.0909283963313113,0.7630001932437587
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,0.010862304021813225,0.03297716428084526,1.0109215130340443,0.9476472567857789,1.07842058128393,0.74186193644407,,
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,0.025316939890710384,0.10044808743169399,1.025640135289023,0.842348620800006,1.248815111867371,0.8010101157574256,,
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,0.012268663717517803,0.031331868851144695,1.0123442324986591,0.9520461207191129,1.0764613423341318,0.6953749240068052,0.01869291158450987,0.891250521130882
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,0.0081953125,0.0379859375,1.0082289859989115,0.93589019258582,1.0861591415973504,0.8291857749326339,,
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,0.015508620689655172,0.04768836206896551,1.0156295034473257,0.9250008995668174,1.1151376055479727,0.7450239108485464,,
CAD (CARDIoGRAMplusC4D),ieu-a-7,发现,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,0.011034238066798074,0.02971204002794491,1.0110953398018838,0.9538953015227497,1.0717253607781876,0.7103600179390921,0.014388720704510402,0.9045203845715155
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,0.030323515551366635,0.05032045240339303,1.0307879559509197,0.9339759681099825,1.137635063869604,0.5467693864471883,,
