exposure,outcome,rsid,b_exp,se_exp,b_out,se_out,ratio
CORIN_eQTL,AF,rs10049713,0.595199,0.0116659,0.0186,0.0076,0.0312501
CORIN_eQTL,AF,rs77880908,0.32032,0.0185198,0.0318,0.0112,0.0992757
CORIN_eQTL,AF,rs17601404,0.319176,0.0189799,0.0291,0.0112,0.0911723
CORIN_eQTL,AF,rs3792711,0.0955022,0.0122904,0.0174,0.0074,0.182195
CORIN_eQTL,AF,rs114446717,-0.250919,0.0398467,0.0348,0.0261,-0.13869
CORIN_eQTL,AF,rs76583360,-0.202258,0.035379,-0.0177,0.0233,0.087512
FURIN_eQTL,AF,rs372098,0.264539,0.0123006,-0.0101,0.0075,-0.0381796
FURIN_eQTL,AF,rs57690203,0.190892,0.029216,-0.0099,0.0177,-0.0518618
FURIN_eQTL,AF,rs4932366,0.187011,0.0298164,-0.0137,0.0189,-0.0732577
MME_eQTL,AF,rs940895,0.190138,0.0138474,-0.0076,0.0085,-0.039971
MME_eQTL,AF,rs11719420,0.169469,0.0124227,0.0023,0.0075,0.0135718
MME_eQTL,AF,rs3796268,0.165781,0.0123275,0.001,0.0075,0.00603205
MME_eQTL,AF,rs1025192,0.135301,0.0118781,0.0061,0.0072,0.0450847
DPP4_eQTL,AF,rs13015258,-0.187322,0.0119058,0.0045,0.0075,-0.0240228
DPP4_eQTL,AF,rs12469968,-0.152098,0.0118345,0.0023,0.0073,-0.0151218
DPP4_eQTL,AF,rs2909445,-0.123174,0.014856,0.0014,0.0091,-0.011366
CORIN_eQTL,CAD,rs10049713,0.595199,0.0116659,-0.001399,0.0097906,-0.00235047
CORIN_eQTL,CAD,rs77880908,0.32032,0.0185198,0.003091,0.0140162,0.00964973
CORIN_eQTL,CAD,rs17601404,0.319176,0.0189799,-0.00364,0.0138815,-0.0114044
CORIN_eQTL,CAD,rs3792711,0.0955022,0.0122904,0.005268,0.0096157,0.055161
CORIN_eQTL,CAD,rs114446717,-0.250919,0.0398467,-0.009332,0.0371214,0.0371913
CORIN_eQTL,CAD,rs76583360,-0.202258,0.035379,0.009759,0.0274003,-0.0482503
FURIN_eQTL,CAD,rs372098,0.264539,0.0123006,-0.01011,0.0101241,-0.0382174
FURIN_eQTL,CAD,rs57690203,0.190892,0.029216,0.015618,0.0202776,0.0818159
FURIN_eQTL,CAD,rs4932366,0.187011,0.0298164,0.028641,0.0221764,0.153151
MME_eQTL,CAD,rs940895,0.190138,0.0138474,0.001196,0.0116351,0.00629017
MME_eQTL,CAD,rs11719420,0.169469,0.0124227,-0.002681,0.0098764,-0.01582
MME_eQTL,CAD,rs3796268,0.165781,0.0123275,-0.002393,0.0098004,-0.0144347
MME_eQTL,CAD,rs1025192,0.135301,0.0118781,-0.004139,0.0091943,-0.0305911
DPP4_eQTL,CAD,rs13015258,-0.187322,0.0119058,0.010003,0.0103805,-0.0534
DPP4_eQTL,CAD,rs12469968,-0.152098,0.0118345,0.012923,0.009896,-0.084965
DPP4_eQTL,CAD,rs2909445,-0.123174,0.014856,-0.02167,0.0124792,0.17593
CORIN_eQTL,CAD2,rs10049713,0.595199,0.0116659,0.00289019,0.00753973,0.00485584
CORIN_eQTL,CAD2,rs77880908,0.32032,0.0185198,0.00731579,0.011543,0.022839
CORIN_eQTL,CAD2,rs17601404,0.319176,0.0189799,0.0258348,0.011386,0.0809422
CORIN_eQTL,CAD2,rs3792711,0.0955022,0.0122904,0.00359051,0.00723931,0.0375961
CORIN_eQTL,CAD2,rs114446717,-0.250919,0.0398467,0.0151711,0.021734,-0.0604621
CORIN_eQTL,CAD2,rs76583360,-0.202258,0.035379,0.0166044,0.0215349,-0.0820951
FURIN_eQTL,CAD2,rs372098,0.264539,0.0123006,-0.0126628,0.00720452,-0.0478674
FURIN_eQTL,CAD2,rs57690203,0.190892,0.029216,-0.00155208,0.0178323,-0.00813067
FURIN_eQTL,CAD2,rs4932366,0.187011,0.0298164,-0.00487665,0.0178844,-0.0260768
MME_eQTL,CAD2,rs940895,0.190138,0.0138474,-0.0193218,0.00788932,-0.10162
MME_eQTL,CAD2,rs11719420,0.169469,0.0124227,0.00264711,0.00733149,0.01562
MME_eQTL,CAD2,rs3796268,0.165781,0.0123275,0.00309496,0.00731344,0.018669
MME_eQTL,CAD2,rs1025192,0.135301,0.0118781,0.00333491,0.00699033,0.0246481
DPP4_eQTL,CAD2,rs13015258,-0.187322,0.0119058,0.00321103,0.00721999,-0.0171418
DPP4_eQTL,CAD2,rs12469968,-0.152098,0.0118345,0.0035476,0.00707651,-0.0233244
DPP4_eQTL,CAD2,rs2909445,-0.123174,0.014856,-0.00233518,0.00865195,0.0189584
CORIN_eQTL,HF,rs10049713,0.595199,0.0116659,0.0026,0.0083,0.00436829
CORIN_eQTL,HF,rs77880908,0.32032,0.0185198,0.0126,0.0125,0.0393357
CORIN_eQTL,HF,rs17601404,0.319176,0.0189799,0.0174,0.0125,0.0545154
CORIN_eQTL,HF,rs3792711,0.0955022,0.0122904,-0.0029,0.0083,-0.0303658
CORIN_eQTL,HF,rs114446717,-0.250919,0.0398467,0.0373,0.0281,-0.148654
CORIN_eQTL,HF,rs76583360,-0.202258,0.035379,0.0075,0.0242,-0.0370814
FURIN_eQTL,HF,rs372098,0.264539,0.0123006,0.0018,0.0082,0.00680429
FURIN_eQTL,HF,rs57690203,0.190892,0.029216,-0.0135,0.0213,-0.0707206
FURIN_eQTL,HF,rs4932366,0.187011,0.0298164,-0.0124,0.0221,-0.0663063
MME_eQTL,HF,rs940895,0.190138,0.0138474,-0.0011,0.0087,-0.00578527
MME_eQTL,HF,rs11719420,0.169469,0.0124227,-0.0142,0.0085,-0.0837911
MME_eQTL,HF,rs3796268,0.165781,0.0123275,-0.0105,0.0083,-0.0633366
MME_eQTL,HF,rs1025192,0.135301,0.0118781,-0.01,0.0079,-0.0739093
DPP4_eQTL,HF,rs13015258,-0.187322,0.0119058,-0.0043,0.0081,0.0229551
DPP4_eQTL,HF,rs12469968,-0.152098,0.0118345,-0.0058,0.008,0.0381333
DPP4_eQTL,HF,rs2909445,-0.123174,0.014856,-0.0056,0.0096,0.0454641
CORIN_eQTL,T2D,rs10049713,0.595199,0.0116659,-0.0143,0.0065,-0.0240256
CORIN_eQTL,T2D,rs77880908,0.32032,0.0185198,-0.0043,0.008,-0.0134241
CORIN_eQTL,T2D,rs17601404,0.319176,0.0189799,0.0026,0.0081,0.00814598
