"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","lead_exp","lead_out"
"nppa_pqtl_cad_vdh","ebi-a-GCST005195",1921,7.65823404418409e-35,0.879964410287721,5.54203225297807e-36,0.063674725667374,0.0563608640449114,"rs198389","rs12567119"
"nppa_pqtl_cad_cardio","ieu-a-7",1997,7.846528348231e-35,0.901600245033147,4.60689977728173e-36,0.052930735858863,0.0454690191079845,"rs198389","rs17882988"
"nppa_pqtl_af","ebi-a-GCST006061",1965,6.45202390148481e-35,0.741365617043799,1.81453817018729e-35,0.208493316142971,0.0501410668132321,"rs198389","rs5066"
"nppa_pqtl_hf","ebi-a-GCST009541",1939,7.94859883542798e-35,0.913328588089246,4.33754295923391e-36,0.0498365722486066,0.0368348396621418,"rs198389","rs12123990"
"nppa_pqtl_stroke","ebi-a-GCST005838",1904,5.23531170753504e-35,0.601560092420064,5.34488691447505e-36,0.0613813701887959,0.337058537391136,"rs198389","rs761086"
"nppa_pqtl_ces","ebi-a-GCST006910",1971,6.71573421890626e-35,0.77166707983773,9.82849734585025e-36,0.112922169504393,0.115410750657878,"rs198389","rs45439601"
"nppa_pqtlr_cad_vdh","ebi-a-GCST005195",1887,1.59966233700978e-24,0.879875729531276,1.16823590991611e-25,0.0642518750836365,0.0558723953850881,"rs198389","rs12567119"
"nppa_pqtlr_cad_cardio","ieu-a-7",1962,1.63616027606551e-24,0.899951010967398,9.83017453617507e-26,0.0540651381879755,0.0459838508446234,"rs198389","rs17882988"
"nppa_pqtlr_af","ebi-a-GCST006061",1919,1.35112776182274e-24,0.743172166787393,3.78496350454956e-25,0.208182666549427,0.0486451666631791,"rs198389","rs5066"
"nppa_pqtlr_hf","ebi-a-GCST009541",1897,1.66102891480327e-24,0.913629717693642,8.97740489955113e-26,0.0493754764681376,0.0369948058382239,"rs198389","rs12123990"
"nppa_pqtlr_stroke","ebi-a-GCST005838",1866,1.00937908358842e-24,0.55519727499384,1.01168654943942e-25,0.0556077274864175,0.389194997519745,"rs198389","rs761086"
"nppa_pqtlr_ces","ebi-a-GCST006910",1946,1.42748203328359e-24,0.785169960293011,2.06475223019938e-25,0.113559178082001,0.101270861624986,"rs198389","rs45439601"
"nppa_anp_cad_vdh","ebi-a-GCST005195",1887,0.80787119040025,0.0938014912698308,0.058998959553955,0.00684708947056141,0.0324812693054027,"rs11121859","rs12567119"
"nppa_anp_cad_cardio","ieu-a-7",1962,0.82109265010034,0.0987984902038946,0.0493318666815846,0.00593340356610818,0.0248435894480727,"rs11121859","rs17882988"
"nppa_anp_af","ebi-a-GCST006061",1919,0.623669303126736,0.074320572659955,0.17471075777897,0.02080904419765,0.106490322236689,"rs11121859","rs5066"
"nppa_anp_hf","ebi-a-GCST009541",1897,0.823960132010327,0.0954041940852503,0.0445327812190458,0.00515323959205805,0.0309496530933192,"rs11121859","rs12123990"
"nppa_anp_stroke","ebi-a-GCST005838",1866,0.717885400451674,0.0817332961487921,0.0719526504446602,0.00817998918458962,0.120248663770285,"rs11121859","rs761086"
"nppa_anp_ces","ebi-a-GCST006910",1946,0.690587902515046,0.0825771776769514,0.0998886766081892,0.0119327058444354,0.115013537355378,"rs11121859","rs45439601"
