exposure,outcome,locus,topSNP,b_eQTL,se_eQTL,p_eQTL,b_GWAS,se_GWAS,b_SMR,se_SMR,p_SMR,p_HEIDI,nsnp_HEIDI,note
SCALLOP,AF,nppa,rs198389,0.2122,0.0158,4.013480889580746e-41,0.0083,0.0074,0.039114043355325166,0.03499416113721893,0.2636820862782391,0.34360921877425377,20,
SCALLOP,CAD_cardio,nppa,rs198389,0.2122,0.0158,4.013480889580746e-41,0.003187,0.0096755,0.01501885014137606,0.04560984685757206,0.7419367724897167,0.07773281412730464,20,
SCALLOP,CAD_vdh,nppa,rs198389,0.2122,0.0158,4.013480889580746e-41,-0.00765846,0.00709002,-0.03609076343072573,0.03351986025201452,0.28161524700636364,0.2180588670072539,20,
SCALLOP,CES,nppa,rs198389,0.2122,0.0158,4.013480889580746e-41,0.0126,0.0196,0.05937794533459001,0.09247144375030895,0.5207939940757638,0.34710010885264664,20,
SCALLOP,HF,nppa,rs198389,0.2122,0.0158,4.013480889580746e-41,-0.0015,0.008,-0.00706880301602262,0.037703956585117805,0.8512829469021419,0.33403177556860353,20,
SCALLOP,stroke,nppa,rs198389,0.2122,0.0158,4.013480889580746e-41,-0.0187,0.0084,-0.088124410933082,0.04012542789840771,0.028075944368306714,0.41308310780302443,20,
INTERVAL,AF,nppa,rs198389,0.2934,0.0253,4.275865876931673e-31,0.0083,0.0074,0.02828902522154056,0.025339231515330185,0.264245767144337,0.172413944357794,20,
INTERVAL,CAD_cardio,nppa,rs198389,0.2934,0.0253,4.275865876931673e-31,0.003187,0.0096755,0.010862304021813225,0.03299046373640904,0.7419622925603648,0.041894263628051744,20,
INTERVAL,CAD_vdh,nppa,rs198389,0.2934,0.0253,4.275865876931673e-31,-0.00765846,0.00709002,-0.026102453987730062,0.024269629605143207,0.2821423155680731,0.1973131295306669,20,
INTERVAL,CES,nppa,rs198389,0.2934,0.0253,4.275865876931673e-31,0.0126,0.0196,0.04294478527607362,0.06690556037436414,0.5209564954043197,0.4929664947657524,20,
INTERVAL,HF,nppa,rs198389,0.2934,0.0253,4.275865876931673e-31,-0.0015,0.008,-0.005112474437627812,0.027270093982587715,0.8512878332069073,0.24765905625881732,20,
INTERVAL,stroke,nppa,rs198389,0.2934,0.0253,4.275865876931673e-31,-0.0187,0.0084,-0.06373551465576006,0.029152599360360475,0.028795703991648606,0.6041459008062112,20,
NPPAeQTL,AF,nppa,rs198411,0.387828,0.017578,7.125645965057145e-108,0.0194,0.0105,0.050022174778510065,0.027168622098424647,0.06559598786375227,0.01659758813989601,20,
NPPAeQTL,CAD_cardio,nppa,rs198367,0.421061,0.0171482,3.896836322312724e-133,-0.009237,0.0136578,-0.021937438993400005,0.032448932183187444,0.499002279516508,0.0171348796481837,20,
NPPAeQTL,CAD_vdh,nppa,rs198411,0.387828,0.017578,7.125645965057145e-108,-0.0128936,0.00992652,-0.033245665604340065,0.025639477398175656,0.19474845528617957,0.010422874096594101,20,
NPPAeQTL,CES,nppa,rs198367,0.421061,0.0171482,3.896836322312724e-133,-0.0306,0.0282,-0.07267355561308218,0.0670390351967664,0.27834336098200707,0.1339976413064418,20,
NPPAeQTL,HF,nppa,rs198367,0.421061,0.0171482,3.896836322312724e-133,0.0126,0.0171,0.029924405252445607,0.040629974655983433,0.46142004544642756,0.10795447726947667,20,
NPPAeQTL,stroke,nppa,rs198367,0.421061,0.0171482,3.896836322312724e-133,-0.031,0.0124,-0.07362353673220744,0.02960166303401227,0.01287740202831185,0.45971653251908756,20,
NPR3eQTL,CAD_cardio,npr3,rs112133948,0.150486,0.0418762,0.0003261497362078469,0.091438,0.0520305,0.6076179843972197,0.38487947116879223,0.11439965992426859,NA,NA,top cis p_eQTL=0.000326 exceeds even relaxed 5e-6 threshold; instrument too weak; z2>10 SNPs < m_hetero(3)
NPR3eQTL,CAD_vdh,npr3,rs112133948,0.150486,0.0418762,0.0003261497362078469,-0.0325611,0.0225761,-0.21637295163669712,0.16165307252700134,0.1807328674508354,NA,NA,top cis p_eQTL=0.000326 exceeds even relaxed 5e-6 threshold; instrument too weak; z2>10 SNPs < m_hetero(3)
NPR3eQTL,MI_har,npr3,rs112133948,0.150486,0.0418762,0.0003261497362078469,-0.0504083,0.0346107,-0.33497003043472484,0.24816403340558563,0.1770824486540633,NA,NA,top cis p_eQTL=0.000326 exceeds even relaxed 5e-6 threshold; instrument too weak; z2>10 SNPs < m_hetero(3)
NPR3eQTL,MI_finn,npr3,rs112133948,0.150486,0.0418762,0.0003261497362078469,-0.0242,0.0539,-0.1608123014765493,0.36095752008373616,0.6559469978627185,NA,NA,top cis p_eQTL=0.000326 exceeds even relaxed 5e-6 threshold; instrument too weak; z2>10 SNPs < m_hetero(3)
