harmonized SNPs across SCALLOP/SBP/AF: 491

--- instruments p<5e-06 r2<0.2: k=52 [rs198389, rs198379, rs549596, rs632793, rs6668659, rs6676300, rs4846054, rs198391, rs2001584, rs12735869, rs4846045, rs6541003, rs12402363, rs6668352, rs11121836, rs34593006, rs1476413, rs4845881, rs11121826, rs6668699, rs4845876, rs7415914, rs4846041, rs198358, rs9792894, rs144795462, rs17421560, rs72640206, rs55929441, rs72640253, rs72640262, rs12565990, rs72640221, rs141567582, rs55967531, rs55890341, rs2184227, rs11121832, rs17037425, rs12076233, rs17350396, rs12141216, rs61776071, rs11559040, rs12562784, rs59375726, rs5063, rs12569355, rs17037397, rs3737965, rs577040, rs198373] ---
MVMR-IVW: k=52 df=50
  NT-proBNP direct (adj SBP): b=-0.03908 se=0.01648 z=-2.37 p=0.01771
  SBP direct (adj NT-proBNP): b=-0.03529 se=0.00601 z=-5.87 p=4.399e-09
  Q=20.81 (df=50, p=1); mean F: NP=69.5 SBP=140.9
    rs198389 bx=0.2122(se 0.0158) bm=-0.458(se 0.031) by=0.0083(se 0.0074)
    rs198379 bx=0.2135(se 0.0159) bm=-0.461(se 0.031) by=0.0081(se 0.0074)
    rs549596 bx=0.2085(se 0.0158) bm=-0.448(se 0.031) by=0.0028(se 0.0073)
    rs632793 bx=0.1983(se 0.0161) bm=-0.470(se 0.031) by=0.0126(se 0.0075)
    rs6668659 bx=0.1875(se 0.0164) bm=-0.546(se 0.032) by=0.0129(se 0.0076)
    rs6676300 bx=0.1788(se 0.0162) bm=-0.527(se 0.032) by=0.0067(se 0.0075)
    rs4846054 bx=-0.1745(se 0.0161) bm=0.376(se 0.031) by=-0.0110(se 0.0073)
    rs198391 bx=-0.1722(se 0.0160) bm=0.428(se 0.030) by=-0.0141(se 0.0073)
    rs2001584 bx=-0.1729(se 0.0162) bm=0.342(se 0.031) by=-0.0086(se 0.0074)
    rs12735869 bx=-0.1719(se 0.0162) bm=0.340(se 0.031) by=-0.0083(se 0.0074)
    rs4846045 bx=-0.1718(se 0.0162) bm=0.340(se 0.031) by=-0.0080(se 0.0073)
    rs6541003 bx=-0.1681(se 0.0160) bm=0.394(se 0.031) by=-0.0118(se 0.0073)
    rs12402363 bx=0.1827(se 0.0174) bm=-0.397(se 0.034) by=0.0004(se 0.0081)
    rs6668352 bx=0.1836(se 0.0177) bm=-0.406(se 0.034) by=0.0011(se 0.0082)
    rs11121836 bx=0.1671(se 0.0164) bm=-0.403(se 0.032) by=0.0052(se 0.0076)
