locus,dataset,label,test,target,conditioned_on,r2_reduced_by_ld,beta_marginal,z_marginal,p_marginal,beta_cond,se_cond,z_cond,p_cond,OR_cond,OR_lo,OR_hi
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),rs5068|rs5066,rs5068,rs5066,0.0016,+0.1452,+4.2959,1.74e-05,+0.146461,0.0337731,+4.3366,1.45e-05,1.158,1.084,1.237
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),rs5066|rs5068,rs5066,rs5068,0.0016,+0.0333,+0.9354,0.35,+0.039402,0.0355717,+1.1077,0.268,1.04,0.9701,1.115
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),rs5068|rs198411,rs5068,rs198411,0.0042,+0.1452,+4.2959,1.74e-05,+0.150863,0.0337285,+4.4728,7.72e-06,1.163,1.088,1.242
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),rs198411|rs5068,rs198411,rs5068,0.0042,+0.0616,+2.5774,0.00995,+0.0682736,0.0238495,+2.8627,0.0042,1.071,1.022,1.122
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,+0.1452,+4.2959,1.74e-05,+0.15075,0.0337277,+4.4696,7.84e-06,1.163,1.088,1.242
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),rs5068|lead(rs198389),rs5068,rs198389,0.0664,+0.1452,+4.2959,1.74e-05,+0.0282179,0.0326584,+0.8640,0.388,1.029,0.9648,1.097
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),lead(rs198389)|rs5068,rs198389,rs5068,0.0664,+0.2122,+13.4304,4.01e-41,+0.194709,0.0152664,+12.7541,2.96e-37,1.215,1.179,1.252
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),secondary#1|rs198389,rs4075034,rs198389,,-0.0455,-2.7744,0.00553,,,-3.5143,0.000441,,,
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),secondary#2|rs198389,rs6665448,rs198389,,-0.046,-2.7879,0.00531,,,-3.3943,0.000688,,,
nppa,ebi-a-GCST90012082,NT-proBNP pQTL (SCALLOP),secondary#3|rs198389,rs10864533,rs198389,,+0.0412,+2.6410,0.00827,,,+3.3848,0.000712,,,
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),rs5068|rs5066,rs5068,rs5066,0.0016,+0.1673,+2.9663,0.00301,+0.181248,0.0563551,+3.2162,0.0013,1.199,1.073,1.339
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),rs5066|rs5068,rs5066,rs5068,0.0016,+0.3068,+6.1980,5.72e-10,+0.312659,0.0494606,+6.3214,2.59e-10,1.367,1.241,1.506
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),rs5068|rs198411,rs5068,rs198411,0.0042,+0.1673,+2.9663,0.00301,+0.186605,0.0562807,+3.3156,0.000914,1.205,1.079,1.346
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),rs198411|rs5068,rs198411,rs5068,0.0042,+0.1822,+5.2659,1.4e-07,+0.188871,0.0345268,+5.4703,4.49e-08,1.208,1.129,1.292
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,+0.1673,+2.9663,0.00301,+0.188147,0.0562794,+3.3431,0.000829,1.207,1.081,1.348
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),rs5068|lead(rs198389),rs5068,rs198389,0.0664,+0.1673,+2.9663,0.00301,-0.00125169,0.0544951,-0.0230,0.982,0.9987,0.8976,1.111
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),lead(rs198389)|rs5068,rs198389,rs5068,0.0664,+0.2934,+11.5968,4.28e-31,+0.27406,0.0244455,+11.2111,3.6e-29,1.315,1.254,1.38
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),secondary#1|rs198389,rs11804222,rs198389,,+0.2512,+6.8634,6.72e-12,,,+4.3378,1.44e-05,,,
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),secondary#2|rs198389,rs35584250,rs198389,,+0.3299,+5.8389,5.25e-09,,,+4.1929,2.75e-05,,,
nppa,prot-a-2078,NT-proBNP pQTL (INTERVAL SomaLogic),secondary#3|rs198389,rs79493618,rs198389,,+0.3328,+5.8592,4.65e-09,,,+4.1690,3.06e-05,,,
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),rs5068|rs5066,rs5068,rs5066,0.0016,+0.108072,+4.2762,1.9e-05,+0.121852,0.0252528,+4.8253,1.4e-06,1.13,1.075,1.187
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),rs5066|rs5068,rs5066,rs5068,0.0016,+0.357698,+13.6656,1.63e-42,+0.362164,0.0261543,+13.8472,1.32e-43,1.436,1.365,1.512
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),rs5068|rs198411,rs5068,rs198411,0.0042,+0.108072,+4.2762,1.9e-05,+0.144316,0.0252195,+5.7224,1.05e-08,1.155,1.1,1.214
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),rs198411|rs5068,rs198411,rs5068,0.0042,+0.387828,+22.0633,7.13e-108,+0.392714,0.0175408,+22.3886,5.09e-111,1.481,1.431,1.533
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,+0.108072,+4.2762,1.9e-05,+0.144735,0.0252189,+5.7391,9.52e-09,1.156,1.1,1.214
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),rs5068|lead(rs198367),rs5068,rs198367,0.0060,+0.108072,+4.2762,1.9e-05,+0.156165,0.0251969,+6.1978,5.73e-10,1.169,1.113,1.228
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),lead(rs198367)|rs5068,rs198367,rs5068,0.0060,+0.421061,+24.5542,3.9e-133,+0.426744,0.0170966,+24.9607,1.63e-137,1.532,1.482,1.584
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),secondary#1|rs198367,rs55892892,rs198367,,+0.115774,+4.5849,4.54e-06,,,+6.8553,7.12e-12,,,
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),secondary#2|rs198367,rs41275494,rs198367,,+0.115794,+4.5759,4.74e-06,,,+6.8463,7.58e-12,,,
nppa,eqtl-a-ENSG00000175206,NPPA eQTL (eQTLGen whole blood),secondary#3|rs198367,rs17376328,rs198367,,+0.115115,+4.5518,5.32e-06,,,+6.8221,8.97e-12,,,
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),rs5068|rs5066,rs5068,rs5066,0.0016,-0.004609,-0.2142,0.83,-0.00667926,0.0215042,-0.3106,0.756,0.9933,0.9523,1.036
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),rs5066|rs5068,rs5066,rs5068,0.0016,-0.051619,-2.4109,0.0159,-0.051802,0.0213935,-2.4214,0.0155,0.9495,0.9105,0.9902
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),rs5068|rs198411,rs5068,rs198411,0.0042,-0.004609,-0.2142,0.83,-0.00596827,0.0214758,-0.2779,0.781,0.994,0.9531,1.037
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),rs198411|rs5068,rs198411,rs5068,0.0042,-0.013214,-0.9717,0.331,-0.0134033,0.0135703,-0.9877,0.323,0.9867,0.9608,1.013
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,-0.004609,-0.2142,0.83,-0.00629406,0.0214753,-0.2931,0.769,0.9937,0.9528,1.036
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),rs5068|lead(rs34783459),rs5068,rs34783459,0.0385,-0.004609,-0.2142,0.83,+0.00877748,0.0211026,+0.4159,0.677,1.009,0.9679,1.051
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),lead(rs34783459)|rs5068,rs34783459,rs5068,0.0385,+0.035178,+3.1687,0.00153,+0.0347113,0.0108858,+3.1887,0.00143,1.035,1.013,1.058
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),secondary#1|rs34783459,rs6667720,rs34783459,,-0.019709,-1.9495,0.0512,,,+2.2705,0.0232,,,
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),secondary#2|rs34783459,rs4846048,rs34783459,,-0.020205,-1.9990,0.0456,,,+2.2461,0.0247,,,
nppa,ieu-a-7,CAD (CARDIoGRAMplusC4D),secondary#3|rs34783459,rs11805138,rs34783459,,-0.019171,-1.8666,0.062,,,+2.1716,0.0299,,,
nppa,ebi-a-GCST005195,CAD (van der Harst),rs5068|rs5066,rs5068,rs5066,0.0016,-0.0382092,-2.4617,0.0138,-0.039963,0.015509,-2.5768,0.00997,0.9608,0.9321,0.9905
nppa,ebi-a-GCST005195,CAD (van der Harst),rs5066|rs5068,rs5066,rs5068,0.0016,-0.0408968,-2.8319,0.00463,-0.0423153,0.0144302,-2.9324,0.00336,0.9586,0.9318,0.9861
nppa,ebi-a-GCST005195,CAD (van der Harst),rs5068|rs198411,rs5068,rs198411,0.0042,-0.0382092,-2.4617,0.0138,-0.0395197,0.0154886,-2.5515,0.0107,0.9613,0.9325,0.9909
nppa,ebi-a-GCST005195,CAD (van der Harst),rs198411|rs5068,rs198411,rs5068,0.0042,-0.0128936,-1.2989,0.194,-0.014482,0.00990553,-1.4620,0.144,0.9856,0.9667,1.005
nppa,ebi-a-GCST005195,CAD (van der Harst),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,-0.0382092,-2.4617,0.0138,-0.0397854,0.0154882,-2.5688,0.0102,0.961,0.9323,0.9906
nppa,ebi-a-GCST005195,CAD (van der Harst),rs5068|lead(rs12567119),rs5068,rs12567119,0.3875,-0.0382092,-2.4617,0.0138,-0.0073791,0.0121474,-0.6075,0.544,0.9926,0.9693,1.017
nppa,ebi-a-GCST005195,CAD (van der Harst),lead(rs12567119)|rs5068,rs12567119,rs5068,0.3875,-0.0300612,-3.1908,0.00142,-0.0156242,0.00737314,-2.1191,0.0341,0.9845,0.9704,0.9988
nppa,ebi-a-GCST005195,CAD (van der Harst),secondary#1|rs12567119,rs35572017,rs12567119,,-0.0485294,-2.9661,0.00302,,,-2.4354,0.0149,,,
nppa,ebi-a-GCST005195,CAD (van der Harst),secondary#2|rs12567119,rs36100953,rs12567119,,-0.0485287,-2.9660,0.00302,,,-2.4353,0.0149,,,
