exposure,outcome,k,dropped,b_ivw,se_ivw,z,p,lead,b_lead,p_lead,Q_p
CORIN_eQTL,AF,6,0,0.0670049,0.0271068,2.47189,0.0134401,rs76583360,0.087512,0.451427,0.0478641
FURIN_eQTL,AF,3,1,-0.0416033,0.0262493,-1.58493,0.112981,rs4932366,-0.0732577,0.471479,0.940124
MME_eQTL,AF,4,0,0.0031325,0.0232601,0.134672,0.892871,rs1025192,0.0450847,0.398173,0.658587
DPP4_eQTL,AF,3,0,-0.0190387,0.0283991,-0.670399,0.502604,rs2909445,-0.011366,0.877752,0.983679
CORIN_eQTL,CAD,6,0,-0.00104831,0.0142212,-0.0737145,0.941238,rs76583360,-0.0482503,0.722234,0.987047
FURIN_eQTL,CAD,3,1,0.0220515,0.0579714,0.380386,0.703659,rs4932366,0.153151,0.205882,0.212753
MME_eQTL,CAD,4,0,-0.012899,0.0306625,-0.420678,0.67399,rs1025192,-0.0305911,0.652841,0.982402
DPP4_eQTL,CAD,3,0,-0.0115112,0.0646028,-0.178184,0.858578,rs2909445,0.17593,0.0892037,0.0889403
CORIN_eQTL,CAD2,6,0,0.016543,0.0149048,1.10991,0.267037,rs76583360,-0.0820951,0.444791,0.342113
FURIN_eQTL,CAD2,3,1,-0.0434331,0.0252941,-1.71712,0.0859565,rs4932366,-0.0260768,0.7853,0.903933
MME_eQTL,CAD2,4,0,-0.0130238,0.0316144,-0.411957,0.680371,rs1025192,0.0246481,0.633606,0.11688
DPP4_eQTL,CAD2,3,0,-0.0138064,0.0273554,-0.504703,0.613767,rs2909445,0.0189584,0.787345,0.875193
CORIN_eQTL,HF,6,0,0.00975312,0.0121966,0.799658,0.423909,rs76583360,-0.0370814,0.756969,0.507024
FURIN_eQTL,HF,3,1,-0.0027337,0.0289732,-0.0943528,0.924829,rs4932366,-0.0663063,0.576261,0.687441
MME_eQTL,HF,4,0,-0.0527781,0.0253639,-2.08084,0.0374488,rs1025192,-0.0739093,0.208363,0.658295
DPP4_eQTL,HF,3,0,0.0316066,0.0307388,1.02823,0.30384,rs2909445,0.0454641,0.560637,0.957533
CORIN_eQTL,T2D,6,0,-0.00545653,0.0160098,-0.340823,0.733237,rs76583360,0.346093,0.0590514,0.193924
FURIN_eQTL,T2D,3,1,-0.0167047,0.0231874,-0.720421,0.471266,rs4932366,-0.0764661,0.329939,0.70489
MME_eQTL,T2D,4,0,-0.0609881,0.0213044,-2.86269,0.00420057,rs1025192,-0.0886911,0.0563738,0.898775
DPP4_eQTL,T2D,3,0,0.0615511,0.0490759,1.2542,0.209769,rs2909445,-0.0949876,0.237329,0.0592129
CORIN_eQTL,T2D_FINN,5,1,0.0743062,0.0367238,2.02338,0.0430338,rs114446717,0.139089,0.419773,0.0537335
FURIN_eQTL,T2D_FINN,3,1,0.0384342,0.0374911,1.02516,0.30529,rs4932366,0.0684452,0.599652,0.960535
MME_eQTL,T2D_FINN,4,0,0.0518377,0.0369746,1.40198,0.160922,rs1025192,0.00221728,0.977839,0.348602
DPP4_eQTL,T2D_FINN,3,0,0.0542636,0.0422266,1.28506,0.198773,rs2909445,-0.0901164,0.413238,0.363964
