"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","lead_exp","lead_out"
"nppa_pqtl_cad_vdh","ebi-a-GCST005195",1921,8.06745384668134e-35,0.926985545983623,5.83817224176824e-36,0.0670772018141377,0.00593725220224517,"rs198389","rs12567119"
"nppa_pqtl_cad_cardio","ieu-a-7",1997,8.18132550956165e-35,0.940069895469084,4.80346785166032e-36,0.0551891945460969,0.00474090998481857,"rs198389","rs17882988"
"nppa_pqtl_af","ebi-a-GCST006061",1965,6.75694425551701e-35,0.776402292336379,1.90029259851963e-35,0.21834663608449,0.00525107157912415,"rs198389","rs5066"
"nppa_pqtl_hf","ebi-a-GCST009541",1939,8.22114079825738e-35,0.944644845364247,4.48626885375224e-36,0.0515453711831792,0.00380978345257502,"rs198389","rs12123990"
"nppa_pqtl_stroke","ebi-a-GCST005838",1904,7.51501022781524e-35,0.863507370664425,7.67229958265613e-36,0.0881096772332018,0.0483829521023779,"rs198389","rs761086"
"nppa_pqtl_ces","ebi-a-GCST006910",1971,7.49414904951856e-35,0.861110330517594,1.09677098053167e-35,0.126010878583986,0.0128787908984258,"rs198389","rs45439601"
"nppa_pqtlr_cad_vdh","ebi-a-GCST005195",1887,1.68436067610982e-24,0.926463069360154,1.23009123960517e-25,0.0676538599761605,0.00588307066368883,"rs198389","rs12567119"
"nppa_pqtlr_cad_cardio","ieu-a-7",1962,1.70679685903465e-24,0.938803845365274,1.02545644626286e-25,0.0563992473062681,0.00479690732845894,"rs198389","rs17882988"
"nppa_pqtlr_af","ebi-a-GCST006061",1919,1.41298935418772e-24,0.777198418736196,3.95825864069487e-25,0.217714341953803,0.00508723930999923,"rs198389","rs5066"
"nppa_pqtlr_hf","ebi-a-GCST009541",1897,1.71823821503749e-24,0.945097030728724,9.28660544846721e-26,0.0510760708601429,0.00382689841113672,"rs198389","rs12123990"
"nppa_pqtlr_stroke","ebi-a-GCST005838",1866,1.5535493584135e-24,0.854511832455711,1.55710081113396e-25,0.0855866252471135,0.0599015422971738,"rs198389","rs761086"
"nppa_pqtlr_ces","ebi-a-GCST006910",1946,1.57063570094377e-24,0.863909977282225,2.27181392882033e-25,0.124947351424905,0.011142671292868,"rs198389","rs45439601"
"nppa_anp_cad_vdh","ebi-a-GCST005195",1887,0.832198981716999,0.0966261780911069,0.0607756219637419,0.00705327897916908,0.00334593924898344,"rs11121859","rs12567119"
"nppa_anp_cad_cardio","ieu-a-7",1962,0.839871531260934,0.101058070905486,0.0504601160475124,0.00606910406279655,0.00254117772327166,"rs11121859","rs17882988"
"nppa_anp_af","ebi-a-GCST006061",1919,0.689778571215353,0.0821985917284645,0.193230188294582,0.0230148136248665,0.0117778351367341,"rs11121859","rs5066"
"nppa_anp_hf","ebi-a-GCST009541",1897,0.84756889906932,0.0981377916309402,0.0458087702110428,0.00530089434912894,0.00318364473956771,"rs11121859","rs12123990"
"nppa_anp_stroke","ebi-a-GCST005838",1866,0.805006231780158,0.0916522507663673,0.0806846496176238,0.00917269283557776,0.0134841750002732,"rs11121859","rs761086"
"nppa_anp_ces","ebi-a-GCST006910",1946,0.770326032208115,0.0921118794568583,0.111422235509591,0.0133105053146369,0.0128293475107983,"rs11121859","rs45439601"
