tissue,gene,outcome,leadSNP,lead_p_eQTL,b_Wald,se_Wald,p_Wald,nsnps
atrial,NPPA,AF,rs116228357,0.00404382,-0.04298272094617963,0.045666320666544885,0.3465846505882111,399
atrial,NPPA,CAD_cardio,rs116228357,0.00404382,-0.021215471380505037,0.06126488786844995,0.7291241286091741,395
atrial,NPPA,CAD_vdh,rs116228357,0.00404382,0.0194777499445223,0.0341317507116899,0.5682276535681547,375
atrial,NPPA,CES,rs116228357,0.00404382,-0.0473809528569515,0.13514182472538527,0.7258871845015409,391
atrial,NPPA,HF,rs116228357,0.00404382,-0.02758890925847809,0.045394819827600574,0.5433502634323024,393
atrial,NPPA,stroke,rs7545290,0.00513227,-0.025330464186904395,0.039884022292948705,0.5253612082643295,390
atrial,NPR3,CAD_cardio,rs2877286,0.00163999,-0.12276961121033109,0.06504075313060174,0.05908238520173259,348
atrial,NPR3,CAD_vdh,rs2877286,0.00163999,0.00944745157301827,0.039489086278902005,0.8109178662318985,354
atrial,NPR3,MI_har,rs2877286,0.00163999,-0.009987415853826075,0.06091171874359027,0.8697583622091571,387
atrial,NPR3,MI_finn,rs2877286,0.00163999,0.06484407198791042,0.0886630307323552,0.4645628871585177,352
ventricle,NPPA,AF,rs72640282,0.000268873,-0.05019665652143524,0.029595356536240413,0.0898671208817432,409
ventricle,NPPA,CAD_cardio,rs72640282,0.000268873,0.0037213301902177948,0.03235728392704932,0.9084391808067724,397
ventricle,NPPA,CAD_vdh,rs72640282,0.000268873,0.03746746218836243,0.028082652900897346,0.1821431417193533,377
ventricle,NPPA,CES,rs72640282,0.000268873,0.00021180023848706855,0.07307110495261518,0.9976872950841613,392
ventricle,NPPA,HF,rs72640282,0.000268873,0.007836608824021537,0.028672250734086607,0.7846096753468017,394
ventricle,NPPA,stroke,rs72640282,0.000268873,-0.007836608824021537,0.027405122987821353,0.7749132339281504,391
ventricle,NPR3,CAD_cardio,rs7731703,0.00197599,-0.07158662147470743,0.07055484048807178,0.3102851823338688,349
ventricle,NPR3,CAD_vdh,rs7731703,0.00197599,-0.0024309905992197993,0.04758003494729459,0.959251683975018,355
ventricle,NPR3,MI_har,rs7731703,0.00197599,-0.11129692396239686,0.08163966289557109,0.1727973531717657,388
ventricle,NPR3,MI_finn,rs7731703,0.00197599,-0.16819082944298777,0.11681624636785531,0.14992690340212844,353
